Mühərrikin həcmi,At gücü,Yanacaq növü,Marka,Model,Buraxılış ili,Ban növü,Rəng,Yürüş
2.2,163,Dizel,Mercedes,Vito 115,2012,Minivan,Ağ,450741
4.3,192,Benzin,GMC,Jimmy,1996,Offroader / SUV,Ağ,365000
2.2,202,Dizel,Kia,Carnival,2016,Minivan,Ağ,203000
3.5,272,Benzin,Mercedes,ML 350,2005,Offroader / SUV,Gümüşü,300000
2.0,220,Benzin,Subaru,Forester,2008,Offroader / SUV,Ağ,143340
1.5,76,Hibrid,Toyota,Prius,2007,Liftbek,Yaş Asfalt,386243
2.4,171,Benzin,Hyundai,Santa Fe,2017,Offroader / SUV,Qara,139500
2.2,170,Dizel,Mercedes,E 220,2012,Sedan,Boz,175000
2.0,200,Benzin,Audi,A4,2007,Sedan,Qara,230000
2.0,184,Dizel,Kia,Sorento,2010,Offroader / SUV,Gümüşü,141500
3.6,283,Benzin,Dodge,Journey,2012,Offroader / SUV,Qara,160300
1.5,106,Benzin,Toyota,Yaris,2016,Sedan,Ağ,126000
1.4,90,Benzin,Opel,Astra,2006,Hetçbek,Göy,191000
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Yaş Asfalt,148634
2.0,252,Benzin,BMW,530,2017,Sedan,Göy,105000
2.2,197,Dizel,Hyundai,Santa Fe,2013,Offroader / SUV,Bej,190000
2.0,240,Benzin,Ford,Edge,2013,Offroader / SUV,Qara,187000
3.7,333,Benzin,Infiniti,QX70,2014,Offroader / SUV,Qara,144000
1.4,140,Benzin,Chevrolet,Cruze,2013,Sedan,Gümüşü,144000
1.4,141,Benzin,Chevrolet,Cruze,2011,Sedan,Göy,285000
6.0,635,Benzin,Bentley,Bentayga,2017,Offroader / SUV,Qara,28000
1.5,76,Hibrid,Toyota,Prius,2006,Liftbek,Boz,322000
2.0,175,Benzin,Toyota,RAV4,2023,Offroader / SUV,Qara,0
1.6,101,Benzin,Opel,Astra,1999,Liftbek,Göy,375600
2.0,128,Benzin,Kia,Sportage,1998,Offroader / SUV,Göy,198000
2.7,163,Benzin,Toyota,Prado,2010,Offroader / SUV,Bej,129000
1.4,140,Benzin,Chevrolet,Cruze,2013,Sedan,Qırmızı,134800
3.0,231,Dizel,Mercedes,E 350,2010,Sedan,Qara,267000
11.0,191,Dizel,KamAz,5511,1991,Yük maşını,Tünd qırmızı,450000
2.0,211,Benzin,Mercedes,V 250,2019,Minivan,Qara,56000
1.4,90,Dizel,Toyota,Corolla,2005,Hetçbek,Qızılı,182000
1.4,90,Dizel,Toyota,Corolla,2005,Hetçbek,Gümüşü,169315
2.5,249,Hibrid,Toyota,Highlander,2022,Offroader / SUV,Boz,0
2.0,184,Dizel,Hyundai,Santa Fe,2015,Offroader / SUV,Gümüşü,180000
1.8,122,Benzin,Mercedes,C 180,1996,Sedan,Göy,290360
2.0,184,Dizel,Kia,Sorento,2011,Offroader / SUV,Yaş Asfalt,162193
1.4,97,Benzin,Toyota,Corolla,2005,Hetçbek,Mavi,224000
2.2,170,Dizel,Mercedes,E 220,2006,Sedan,Gümüşü,242430
2.5,181,Dizel,Mitsubishi,L200,2015,Pikap,Ağ,188000
1.6,128,Dizel,Hyundai,Accent,2012,Sedan,Yaş Asfalt,165000
1.6,125,Benzin,Ford,Focus,2014,Sedan,Ağ,110000
2.2,170,Dizel,Mercedes,E 220,2014,Sedan,Ağ,77000
2.0,184,Dizel,Kia,Sorento,2009,Offroader / SUV,Yaş Asfalt,196500
3.7,245,Benzin,Mercedes,S 350,2004,Sedan,Boz,217000
2.5,231,Benzin,Mazda,CX-9,2021,Offroader / SUV,Ağ,20000
1.1,65,Benzin,LADA (VAZ),21011,1983,Sedan,Qırmızı,25300
2.4,170,Benzin,Mercedes,C 240,2000,Sedan,Gümüşü,245000
2.0,184,Dizel,Hyundai,Santa Fe,2008,Offroader / SUV,Gümüşü,195000
1.6,116,Dizel,Hyundai,i30,2011,Universal,Qara,209800
1.6,180,Benzin,Kia,K5,2021,Sedan,Qara,35000
1.8,180,Benzin,Volkswagen,Passat,2017,Sedan,Yaş Asfalt,60500
1.6,115,Dizel,Kia,Ceed,2011,Universal,Ağ,208000
1.3,460,Dizel,DAF,105 XF,2013,Dartqı,Ağ,900000
2.7,172,Benzin,Hyundai,Sonata,2003,Sedan,Qara,195000
2.2,136,Dizel,Mercedes,E 200,2008,Sedan,Ağ,210000
1.4,90,Benzin,Opel,Astra,2009,Hetçbek,Qara,142000
3.6,280,Benzin,Volkswagen,Touareg,2008,Offroader / SUV,Ağ,176700
2.0,184,Dizel,Hyundai,Santa Fe,2012,Offroader / SUV,Ağ,171000
2.4,170,Benzin,Mercedes,C 240,1999,Sedan,Göy,306021
4.4,286,Benzin,BMW,540,2000,Sedan,Göy,285000
4.5,272,Dizel,Lexus,LX 450,2017,Offroader / SUV,Qara,185000
1.5,185,Benzin,Ford,Fusion,2017,Sedan,Gümüşü,155000
2.4,160,Benzin,Honda,CR-V,2008,Offroader / SUV,Qara,267044
0.7,650,Benzin,Yamaha,Drag Star XVS 650,2015,Motosiklet,Qara,15000
1.8,150,Benzin,Volkswagen,Passat,1999,Sedan,Mavi,300000
2.5,99,Dizel,Mitsubishi,Pajero,1995,Offroader / SUV,Göy,223000
2.0,184,Dizel,Kia,Sorento,2009,Offroader / SUV,Yaş Asfalt,195000
2.5,218,Benzin,BMW,525,2010,Sedan,Ağ,223500
2.0,204,Dizel,BMW,X1,2011,Offroader / SUV,Göy,304000
1.6,80,Benzin,LADA (VAZ),2110,2005,Sedan,Gümüşü,348120
5.7,263,Benzin,Lexus,LX 570,2013,Offroader / SUV,Ağ,134563
2.0,252,Benzin,Audi,A6,2015,Sedan,Ağ,110000
2.0,150,Benzin,Hyundai,Elantra,2017,Sedan,Boz,164000
1.8,160,Benzin,Volkswagen,Passat,2009,Sedan,Ağ,218000
1.6,100,Benzin,Opel,Astra,1999,Sedan,Ağ,289632
2.0,184,Dizel,Kia,Sorento,2013,Offroader / SUV,Ağ,189739
3.2,224,Benzin,Mercedes,E 320,2004,Sedan,Qara,303530
4.8,500,Benzin,Porsche,Panamera Turbo,2010,Liftbek,Qara,207000
0.4,39,Benzin,Bajaj,Dominar 400,2019,Motosiklet,Yaşıl,3000
2.0,184,Dizel,Kia,Sorento,2015,Offroader / SUV,Qara,122000
2.7,163,Benzin,Toyota,Prado,2015,Offroader / SUV,Ağ,115000
2.0,146,Benzin,Toyota,RAV4,2014,Offroader / SUV,Qara,163000
2.0,150,Benzin,Hyundai,Elantra,2017,Sedan,Ağ,179347
1.4,100,Benzin,Chevrolet,Aveo,2008,Sedan,Ağ,250000
3.5,456,Benzin,Lincoln,Navigator,2021,Offroader / SUV,Qara,43000
2.0,252,Benzin,Audi,A6,2015,Sedan,Qara,109000
2.5,100,Dizel,Mercedes,208 D,1985,Mikroavtobus,Ağ,300000
2.0,168,Benzin,Kia,K5,2016,Sedan,Ağ,96000
2.3,150,Benzin,Mercedes,E 230,1990,Sedan,Göy,198500
1.6,75,Benzin,LADA (VAZ),2107,2008,Sedan,Qırmızı,150000
3.0,313,Dizel,BMW,X5,2014,Offroader / SUV,Göy,226000
1.6,128,Dizel,Hyundai,i30,2011,Universal,Tünd qırmızı,195000
3.0,367,Benzin,Mercedes,GLS 450,2020,Offroader / SUV,Qara,42300
1.8,150,Benzin,Hyundai,Elantra,2013,Sedan,Yaş Asfalt,104608
2.0,245,Benzin,Hyundai,Sonata,2015,Sedan,Ağ,113000
3.0,340,Benzin,Land Rover,Range Rover,2017,Offroader / SUV,Qara,50083
1.5,65,Benzin,LADA (VAZ),2115,2009,Sedan,Qara,227000
2.8,204,Dizel,Toyota,Prado,2023,Offroader / SUV,Ağ,0
1.5,181,Benzin,Ford,Fusion,2014,Sedan,Gümüşü,114300
1.3,90,Dizel,Opel,Astra,2007,Hetçbek,Qara,262000
2.0,245,Benzin,BMW,528,2014,Sedan,Qara,84000
2.0,149,Benzin,Toyota,RAV4,2020,Offroader / SUV,Qara,114000
2.2,197,Dizel,Hyundai,Grand Santa Fe,2015,Offroader / SUV,Qara,135600
1.2,58,Benzin,LADA (VAZ),2101,1987,Sedan,Ağ,37725
3.5,415,Benzin,Lexus,LX 600,2023,Offroader / SUV,Qara,188
3.0,231,Benzin,BMW,X5,2006,Offroader / SUV,Yaş Asfalt,258000
0.0,204,Elektro,Volkswagen,ID.6,2022,Offroader / SUV,Bənövşəyi,500
2.4,170,Benzin,Mercedes,C 240,2000,Universal,Gümüşü,362000
1.6,80,Benzin,LADA (VAZ),2110,2000,Sedan,Yaşıl,258963
2.5,218,Hibrid,Toyota,Camry,2022,Sedan,Qara,0
1.5,65,Benzin,LADA (VAZ),2106,1999,Sedan,Ağ,100000
2.4,176,Benzin,Kia,Sorento,2012,Offroader / SUV,Yaş Asfalt,101000
2.2,185,Benzin,Alfa Romeo,159,2005,Sedan,Tünd qırmızı,160000
1.3,90,Dizel,Opel,Astra,2009,Hetçbek,Qara,150000
1.6,75,Benzin,LADA (VAZ),2105,2008,Pikap,Göy,80000
1.8,125,Benzin,Opel,Vectra,1997,Sedan,Qızılı,90000
1.6,98,Benzin,LADA (VAZ),Kalina,2008,Sedan,Gümüşü,480000
3.0,190,Dizel,Mercedes,E 280,2005,Sedan,Boz,253957
2.0,274,Benzin,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,114000
2.0,245,Benzin,BMW,528,2015,Sedan,Boz,24000
1.6,115,Dizel,Kia,Ceed,2008,Universal,Gümüşü,162000
4.4,555,Benzin,BMW,X6 M,2012,Offroader / SUV,Göy,145000
2.2,143,Dizel,Mercedes,E 220,1997,Sedan,Bənövşəyi,786000
2.4,161,Benzin,Hyundai,Sonata,2006,Sedan,Ağ,154000
1.6,116,Dizel,Hyundai,i30,2010,Universal,Qara,285021
2.0,170,Benzin,BMW,320,2009,Sedan,Qara,160000
1.5,76,Hibrid,Toyota,Prius,2007,Liftbek,Gümüşü,420039
3.0,400,Benzin,Land Rover,Defender,2022,Offroader / SUV,Qara,0
1.3,90,Dizel,Opel,Astra,2005,Universal,Gümüşü,210000
1.4,97,Benzin,Toyota,Auris,2009,Hetçbek,Ağ,187000
1.6,156,Benzin,Mercedes,C 180,2014,Sedan,Ağ,135000
2.5,218,Hibrid,Lexus,ES 300h,2022,Sedan,Qara,0
2.2,143,Dizel,Mercedes,E 220,2001,Universal,Göy,595000
2.0,211,Benzin,Mercedes,GLA 250,2021,Offroader / SUV,Ağ,5900
1.6,128,Dizel,Hyundai,Elantra,2015,Sedan,Ağ,200000
5.0,306,Benzin,Mercedes,ML 500,2005,Offroader / SUV,Qara,258000
1.6,86,Benzin,Tofas,Sahin,2006,Sedan,Gümüşü,96000
2.2,150,Dizel,Mercedes,E 220,2005,Universal,Gümüşü,261900
1.5,76,Hibrid,Toyota,Prius,2007,Liftbek,Gümüşü,233100
2.0,136,Benzin,Mercedes,C 200,2000,Universal,Gümüşü,306021
6.0,610,Benzin,Bentley,Continental Flying Spur,2007,Sedan,Qara,44000
2.5,218,Hibrid,Toyota,Avalon,2022,Sedan,Qara,0
1.6,98,Benzin,LADA (VAZ),Priora,2015,Hetçbek,Ağ,157988
2.0,184,Dizel,Kia,Sorento,2009,Offroader / SUV,Gümüşü,91717
1.6,115,Dizel,Hyundai,Elantra,2008,Sedan,Gümüşü,179000
1.5,109,Benzin,Nissan,Tiida,2011,Hetçbek,Qara,41000
1.5,80,Benzin,LADA (VAZ),2110,1999,Sedan,Bənövşəyi,252525
1.6,115,Dizel,Kia,Ceed,2011,Universal,Yaş Asfalt,165000
1.8,99,Hibrid,Toyota,Prius,2010,Liftbek,Qara,250300
1.6,101,Benzin,Opel,Astra,1998,Universal,Boz,254785
2.2,197,Dizel,Kia,Sorento,2015,Offroader / SUV,Yaş Asfalt,168300
0.0,27,Elektro,Wuling,Mini EV,2022,Hetçbek,Ağ,0
2.0,184,Dizel,Hyundai,Santa Fe,2008,Offroader / SUV,Ağ,237500
1.4,90,Benzin,Opel,Astra,2005,Hetçbek,Göy,155000
2.3,150,Benzin,Mercedes,C 230,1997,Sedan,Gümüşü,185000
0.2,18,Benzin,Yamaha,R15 V4,2023,Motosiklet,Göy,0
1.5,109,Benzin,Nissan,Tiida,2011,Sedan,Ağ,66900
1.6,75,Benzin,LADA (VAZ),2107,2005,Sedan,Ağ,45000
2.4,180,Benzin,Hyundai,Grandeur,2012,Sedan,Qara,209000
3.0,333,Benzin,Audi,Q7,2015,Offroader / SUV,Qara,113000
1.7,80,Benzin,LADA (VAZ),Niva,2012,Offroader / SUV,Ağ,199000
2.0,150,Dizel,Mercedes,E 200,2017,Sedan,Qara,88000
5.0,470,Benzin,Jaguar,XJ L,2010,Sedan,Qara,161000
2.2,150,Benzin,Mercedes,C 220,1994,Sedan,Gümüşü,454000
2.0,184,Dizel,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,144000
1.6,75,Benzin,LADA (VAZ),2106,1997,Sedan,Göy,44338
2.2,143,Dizel,Mercedes,E 220,2001,Sedan,Gümüşü,556356
5.5,544,Benzin,Mercedes,G 63 AMG,2015,Offroader / SUV,Qara,130400
3.7,277,Benzin,Mazda,CX-9,2008,Offroader / SUV,Yaş Asfalt,198214
1.5,181,Benzin,Ford,Fusion,2019,Sedan,Yaş Asfalt,73500
1.4,90,Dizel,Toyota,Corolla,2006,Hetçbek,Yaş Asfalt,173000
2.4,131,Benzin,GAZ,24-10,1989,Sedan,Ağ,246369
2.0,184,Dizel,Kia,Sorento,2013,Offroader / SUV,Yaş Asfalt,152000
1.4,90,Benzin,Opel,Astra,2009,Hetçbek,Gümüşü,240000
3.3,300,Dizel,Lexus,LX 500d,2023,Offroader / SUV,Qara,0
1.6,75,Benzin,LADA (VAZ),2107,2002,Sedan,Tünd qırmızı,20000
1.8,122,Benzin,Mercedes,C 180,1997,Sedan,Göy,545000
2.0,245,Benzin,Mercedes,C 300,2017,Sedan,Yaş Asfalt,115500
2.3,317,Benzin,Ford,Mustang,2018,Kupe,Göy,130000
1.6,81,Benzin,LADA (VAZ),2115,2012,Sedan,Qara,172000
2.0,249,Benzin,Ford,Fusion,2017,Sedan,Yaş Asfalt,140013
2.0,184,Dizel,Kia,Sorento,2010,Offroader / SUV,Qəhvəyi,126117
2.4,190,Benzin,Honda,Accord,2010,Sedan,Ağ,219000
2.0,272,Benzin,Jeep,Wrangler,2018,Offroader / SUV,Boz,100000
2.0,311,Plug-in hibrid,Mercedes,E 300 de,2021,Sedan,Qara,35000
1.8,178,Hibrid,Toyota,Corolla,2023,Sedan,Ağ,0
1.3,90,Dizel,Opel,Astra,2008,Universal,Göy,187000
1.4,90,Benzin,Opel,Astra,2005,Hetçbek,Mavi,195000
1.3,99,Hibrid,Honda,Civic,2006,Sedan,Boz,295350
4.4,530,Benzin,Land Rover,Range Rover,2022,Offroader / SUV,Qara,0
1.6,75,Benzin,LADA (VAZ),2104,1999,Universal,Yaşıl,10000
4.5,272,Dizel,Lexus,LX 450,2017,Offroader / SUV,Qara,33300
1.8,141,Benzin,Chevrolet,Cruze,2012,Sedan,Ağ,122000
2.8,204,Benzin,Mercedes,E 280,2001,Sedan,Qara,378000
3.3,235,Benzin,Hyundai,Grandeur,2007,Sedan,Qara,344000
6.0,625,Benzin,Bentley,Continental GT,2011,Kupe,Qara,89000
2.0,184,Dizel,Hyundai,Santa Fe,2010,Offroader / SUV,Gümüşü,201000
3.3,300,Dizel,Toyota,Land Cruiser,2022,Offroader / SUV,Ağ,0
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Yaş Asfalt,210000
1.6,80,Benzin,LADA (VAZ),2115,2007,Sedan,Qara,278590
2.5,170,Benzin,Nissan,X-Trail,2004,Offroader / SUV,Qara,250000
4.0,282,Benzin,Toyota,Land Cruiser,2011,Offroader / SUV,Ağ,220000
2.2,125,Dizel,Ford,Transit,2008,Furqon,Ağ,147356
1.4,90,Benzin,Opel,Astra,2005,Hetçbek,Gümüşü,290000
2.0,245,Benzin,BMW,528,2013,Sedan,Yaş Asfalt,134000
2.0,184,Dizel,Kia,Sportage,2014,Offroader / SUV,Ağ,142000
5.7,367,Benzin,Lexus,LX 570,2018,Offroader / SUV,Yaş Asfalt,148000
1.4,90,Benzin,Opel,Astra,2010,Hetçbek,Qara,185000
2.0,249,Hibrid,Volvo,XC60,2023,Offroader / SUV,Boz,0
1.8,150,Benzin,Hyundai,Elantra,2012,Sedan,Gümüşü,141002
1.5,160,Benzin,Chevrolet,Malibu,2016,Sedan,Gümüşü,147000
3.0,340,Benzin,Land Rover,Range Rover,2016,Offroader / SUV,Ağ,129800
1.6,113,Benzin,Volkswagen,Bora,2022,Sedan,Ağ,0
1.6,75,Benzin,LADA (VAZ),2107,2005,Sedan,Yaşıl,85000
3.0,400,Benzin,Land Rover,RR Sport,2022,Offroader / SUV,Qara,0
3.0,250,Dizel,Iveco,35C15,2009,Yük maşını,Ağ,459000
2.0,184,Dizel,Hyundai,Santa Fe,2013,Offroader / SUV,Gümüşü,66000
2.3,317,Benzin,Ford,Mustang,2015,Kupe,Ağ,177777
2.4,198,Benzin,Hyundai,Sonata,2011,Sedan,Yaş Asfalt,196340
1.8,129,Benzin,Mercedes,C 180,1995,Sedan,Yaş Asfalt,504621
2.0,175,Benzin,Toyota,RAV4,2019,Offroader / SUV,Ağ,75000
1.4,90,Dizel,Toyota,Auris,2013,Universal,Ağ,144000
2.0,150,Benzin,Hyundai,Tucson,2022,Offroader / SUV,Qara,11250
2.7,170,Dizel,Mercedes,E 270,2001,Sedan,Qara,528761
1.5,72,Benzin,Hyundai,Excel,1994,Sedan,Ağ,285500
3.5,415,Benzin,Toyota,Land Cruiser,2022,Offroader / SUV,Ağ,0
1.8,99,Hibrid,Toyota,Prius,2014,Liftbek,Göy,293229
1.6,117,Benzin,Nissan,Juke,2013,Offroader / SUV,Yaş Asfalt,111000
2.0,165,Benzin,Kia,Optima,2014,Sedan,Ağ,187000
3.0,231,Benzin,BMW,X5,2005,Offroader / SUV,Qara,97000
1.7,110,Dizel,Opel,Astra,2008,Universal,Gümüşü,275000
2.4,142,Benzin,Mitsubishi,Outlander,2005,Offroader / SUV,Qara,243000
2.0,141,Benzin,Nissan,Qashqai,2012,Offroader / SUV,Qara,190000
3.5,306,Benzin,Mercedes,ML 350,2012,Offroader / SUV,Ağ,132000
1.5,65,Benzin,LADA (VAZ),2106,1987,Sedan,Ağ,56847
2.0,225,Benzin,Bestune,T99,2021,Offroader / SUV,Qara,54000
4.0,585,Benzin,Mercedes,G 63 AMG,2022,Offroader / SUV,Göy,0
2.0,163,Dizel,BMW,320,2012,Sedan,Göy,150000
1.4,97,Benzin,Kia,Rio,2008,Sedan,Ağ,217000
12.0,420,Dizel,Scania,R 420,2012,Dartqı,Qırmızı,820000
2.0,184,Dizel,Hyundai,Santa Fe,2008,Offroader / SUV,Ağ,186956
1.6,110,Benzin,Skoda,Kamiq,2021,Offroader / SUV,Boz,70900
1.8,150,Benzin,Hyundai,Elantra,2014,Sedan,Boz,139000
1.4,90,Benzin,Opel,Astra,2009,Universal,Ağ,98380
2.0,245,Benzin,Hyundai,Sonata,2018,Sedan,Gümüşü,67000
1.2,105,Benzin,Skoda,Octavia,2013,Sedan,Ağ,265842
1.6,118,Benzin,Nissan,Sunny,2005,Sedan,Gümüşü,215000
2.0,184,Dizel,Hyundai,Santa Fe,2008,Offroader / SUV,Gümüşü,132800
1.4,150,Benzin,Skoda,Karoq,2023,Offroader / SUV,Boz,0
1.7,80,Benzin,LADA (VAZ),Niva Travel,2021,Offroader / SUV,Ağ,39854
1.6,75,Benzin,LADA (VAZ),2107,2007,Sedan,Ağ,57000
2.0,136,Benzin,Mercedes,C 200,1998,Sedan,Gümüşü,260126
2.0,211,Benzin,Mercedes,CLA 250,2018,Sedan,Ağ,82000
1.6,115,Dizel,Kia,Ceed,2008,Hetçbek,Gümüşü,187000
1.4,108,Benzin,Hyundai,Accent,2012,Sedan,Ağ,246947
0.0,408,Elektro,Mercedes,EQC 400 4MATIC,2021,Offroader / SUV,Qara,7500
1.4,109,Benzin,Kia,Ceed,2010,Universal,Boz,185000
3.5,272,Benzin,Mercedes,E 350,2010,Kupe,Qara,109000
2.5,169,Benzin,Toyota,Camry,2010,Sedan,Ağ,313000
2.2,170,Dizel,Mercedes,E 220,2006,Sedan,Gümüşü,289000
2.0,316,Plug-in hibrid,Mercedes,E 300 e,2020,Sedan,Qara,57700
3.0,306,Benzin,Land Rover,RR Sport,2018,Offroader / SUV,Ağ,52000
4.0,158,Dizel,Iveco,Otoyol,2004,Yük maşını,Ağ,258000
2.7,163,Benzin,Toyota,Prado,2010,Offroader / SUV,Ağ,183000
2.0,279,Benzin,Chevrolet,Camaro,2018,Kupe,Ağ,38000
2.0,211,Benzin,Audi,A5,2013,Liftbek,Qara,35000
6.0,150,Benzin,ZIL,130,1985,Yük maşını,Mavi,350000
2.0,150,Benzin,Kia,Cerato,2016,Sedan,Göy,66236
4.8,405,Benzin,Porsche,Cayenne GTS,2009,Offroader / SUV,Ağ,112000
2.0,138,Benzin,Renault,Fluence,2014,Sedan,Boz,195000
2.5,243,Hibrid,Toyota,Highlander,2021,Offroader / SUV,Qara,13000
1.5,76,Hibrid,Toyota,Prius,2007,Liftbek,Yaş Asfalt,317000
1.6,105,Benzin,Opel,Astra,2007,Hetçbek,Ağ,201000
2.0,200,Benzin,Volkswagen,Passat,2008,Sedan,Bej,210000
1.6,75,Benzin,LADA (VAZ),2107,2005,Sedan,Göy,35478
1.4,141,Benzin,Chevrolet,Cruze,2014,Sedan,Qırmızı,185000
2.4,100,Benzin,GAZ,24-02,1988,Universal,Ağ,300000
4.0,282,Benzin,Toyota,Land Cruiser,2011,Offroader / SUV,Ağ,208000
1.6,90,Benzin,LADA (VAZ),Largus,2022,Furqon,Qızılı,0
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Mavi,193000
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Yaşıl,192000
2.0,165,Benzin,Kia,Optima,2010,Sedan,Ağ,178000
2.4,170,Benzin,Mercedes,C 240,2000,Sedan,Qara,388555
2.0,311,Plug-in hibrid,Mercedes,E 300 de,2020,Sedan,Qara,25500
2.7,163,Benzin,Toyota,Prado,2007,Offroader / SUV,Qara,180125
1.4,140,Benzin,Chevrolet,Cruze,2013,Sedan,Ağ,205000
3.5,95,Benzin,GAZ,12 ЗИМ,1955,Sedan,Qara,1200
2.0,136,Benzin,Mercedes,C 200,1998,Sedan,Ağ,263600
0.0,204,Elektro,Volkswagen,ID.4,2022,Offroader / SUV,Boz,0
2.0,150,Benzin,Kia,Cerato,2018,Sedan,Göy,41000
1.6,138,Dizel,Kia,Sportage,2023,Offroader / SUV,Ağ,0
2.2,115,Dizel,Mercedes,Viano,2007,Minivan,Boz,289000
1.4,90,Dizel,Toyota,Corolla,2005,Hetçbek,Mavi,360000
4.0,282,Benzin,Toyota,Land Cruiser,2010,Offroader / SUV,Qara,126000
2.2,125,Dizel,Mercedes,E 220,1998,Sedan,Qızılı,950000
6.0,150,Benzin,ZIL,130,1991,Yük maşını,Göy,254365
2.0,184,Dizel,Hyundai,Santa Fe,2011,Offroader / SUV,Gümüşü,194000
2.5,76,Dizel,Ford,Transit,1998,Mikroavtobus,Ağ,730000
0.8,53,Benzin,Suzuki,Intruder,2014,Motosiklet,Ağ,30000
1.5,105,Dizel,Renault,Megane,2006,Universal,Qara,400000
2.0,274,Benzin,Hyundai,Sonata,2012,Sedan,Yaş Asfalt,195000
1.4,97,Benzin,Toyota,Corolla,2005,Hetçbek,Gümüşü,147600
2.0,200,Benzin,Volkswagen,Passat,2008,Sedan,Qara,25635
2.0,136,Benzin,Opel,Vectra,1990,Sedan,Qızılı,387000
2.4,170,Benzin,Mercedes,E 240,2001,Sedan,Qara,364125
1.5,72,Benzin,LADA (VAZ),2107,1985,Sedan,Ağ,180000
2.6,177,Benzin,Mercedes,C 240,2002,Sedan,Gümüşü,375480
1.8,204,Benzin,Mercedes,C 250,2013,Sedan,Qara,78500
0.0,204,Elektro,Volkswagen,ID.6,2022,Offroader / SUV,Ağ,0
2.2,144,Benzin,Opel,Omega,2000,Sedan,Gümüşü,245000
1.5,65,Benzin,LADA (VAZ),2106,1983,Sedan,Sarı,150633
2.4,170,Benzin,Mercedes,C 240,2000,Sedan,Gümüşü,231311
2.0,249,Benzin,Volvo,XC90,2021,Offroader / SUV,Boz,52000
2.0,272,Benzin,Jeep,Wrangler,2021,Offroader / SUV,Göy,0
2.0,272,Benzin,Jeep,Wrangler,2019,Offroader / SUV,Boz,45548
1.5,109,Benzin,Nissan,Tiida,2012,Hetçbek,Ağ,60000
2.0,122,Benzin,Mercedes,190,1991,Sedan,Göy,385000
2.0,184,Dizel,Kia,Sorento,2017,Offroader / SUV,Boz,142000
2.0,184,Dizel,BMW,520,2011,Sedan,Qara,213400
1.6,115,Dizel,Hyundai,i30,2008,Universal,Yaş Asfalt,195286
1.5,163,Benzin,Chevrolet,Malibu,2016,Sedan,Yaş Asfalt,136000
3.0,400,Benzin,Land Rover,Range Rover,2023,Offroader / SUV,Qara,0
1.6,106,Benzin,LADA (VAZ),Priora,2017,Sedan,Qara,165300
2.3,309,Benzin,Ford,Mustang,2016,Kupe,Yaş Asfalt,110000
3.5,272,Benzin,Mercedes,E 350,2010,Sedan,Qara,204000
2.7,167,Benzin,Toyota,Prado,2014,Offroader / SUV,Ağ,56000
2.2,143,Dizel,Mercedes,E 220,1999,Sedan,Gümüşü,293538
1.7,141,Dizel,Kia,Sportage,2017,Offroader / SUV,Ağ,101000
2.0,245,Benzin,BMW,528,2014,Sedan,Boz,150500
1.6,110,Benzin,Chery,Fora (A21),2006,Sedan,Qara,352341
3.6,440,Benzin,Porsche,Cayenne GTS,2015,Offroader / SUV,Qara,120000
2.0,163,Benzin,Kia,Sportage,2011,Offroader / SUV,Ağ,163000
2.2,155,Benzin,Opel,Vectra,2005,Sedan,Boz,350000
2.2,150,Dizel,Mercedes,E 220,1993,Sedan,Boz,577548
2.4,131,Benzin,GAZ,33021,1998,Yük maşını,Boz,70000
2.2,150,Dizel,Mercedes,Sprinter 316,2008,Furqon,Ağ,370000
2.2,202,Dizel,Kia,K7,2019,Sedan,Qara,44400
2.0,274,Benzin,Kia,Optima,2013,Sedan,Boz,205000
1.3,90,Dizel,Opel,Astra,2007,Hetçbek,Yaş Asfalt,193750
1.8,150,Benzin,Hyundai,Elantra,2015,Sedan,Qara,142000
1.5,150,Benzin,Haval,Jolion,2022,Offroader / SUV,Ağ,0
2.4,179,Benzin,Hyundai,Grandeur,2012,Sedan,Qəhvəyi,165000
1.4,90,Benzin,Opel,Astra,2007,Universal,Bej,266000
3.0,310,Benzin,Audi,A6,2013,Sedan,Boz,165000
3.5,306,Benzin,Mercedes,GLK 350,2012,Offroader / SUV,Ağ,249000
2.5,218,Hibrid,Lexus,ES 300h,2021,Sedan,Ağ,11000
2.5,180,Benzin,Hyundai,Sonata,2020,Sedan,Göy,55000
1.3,90,Dizel,Opel,Astra,2009,Hetçbek,Yaş Asfalt,219000
2.0,240,Benzin,Ford,Fusion,2014,Sedan,Qara,174000
4.3,170,Dizel,Mercedes,Atego 818,2007,Yük maşını,Göy,418049
1.5,184,Benzin,Ford,Fusion,2018,Sedan,Ağ,36000
1.7,80,Benzin,Chevrolet,Niva,2019,Offroader / SUV,Qara,74000
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Boz,258369
13.0,430,Dizel,Mercedes,Axor 3340,2006,Yük maşını,Sarı,866866
1.5,76,Benzin,Toyota,Prius,2008,Liftbek,Qara,379001
1.4,90,Benzin,Opel,Astra,2006,Sedan,Qara,195000
